random_state,module,rule_count,rule_rank,iforest_count,iforest_rank,overlap_count,rule_only_count,iforest_only_count,both_count,overlap_ratio_of_rule,overlap_ratio_of_iforest,jaccard_overlap_ratio
0,1(PM-3),6,4,119,8,2,4,117,2,0.3333333333333333,0.01680672268907563,0.016260162601626018
0,11(우측분전반1),9,2,84,10,6,3,78,6,0.6666666666666666,0.07142857142857142,0.06896551724137931
0,12(4호기),7,3,344,3,6,1,338,6,0.8571428571428571,0.01744186046511628,0.017391304347826087
0,13(3호기),85,1,76,11,13,72,63,13,0.15294117647058825,0.17105263157894737,0.08783783783783784
0,14(2호기),4,9,568,1,3,1,565,3,0.75,0.00528169014084507,0.005272407732864675
0,15(예비건조기),5,6,183,4,2,3,181,2,0.4,0.01092896174863388,0.010752688172043012
0,16(호이스트),3,11,63,13,2,1,61,2,0.6666666666666666,0.031746031746031744,0.03125
0,17(6호기),6,4,559,2,5,1,554,5,0.8333333333333334,0.008944543828264758,0.008928571428571428
0,18(우측분전반2),5,6,129,7,2,3,127,2,0.4,0.015503875968992248,0.015151515151515152
0,2(L-1전등),4,9,160,5,3,1,157,3,0.75,0.01875,0.018633540372670808
0,3(분쇄기(2)),0,13,145,6,0,0,145,0,0.0,0.0,0.0
0,4(분쇄기(1)),3,11,97,9,2,1,95,2,0.6666666666666666,0.020618556701030927,0.02040816326530612
0,5(좌측분전반),5,6,73,12,5,0,68,5,1.0,0.0684931506849315,0.0684931506849315
1,1(PM-3),6,4,206,5,2,4,204,2,0.3333333333333333,0.009708737864077669,0.009523809523809525
1,11(우측분전반1),6,4,185,7,2,4,183,2,0.3333333333333333,0.010810810810810811,0.010582010582010581
1,12(4호기),4,8,121,12,4,0,117,4,1.0,0.03305785123966942,0.03305785123966942
1,13(3호기),110,1,128,10,27,83,101,27,0.24545454545454545,0.2109375,0.12796208530805686
1,14(2호기),6,4,261,2,4,2,257,4,0.6666666666666666,0.01532567049808429,0.015209125475285171
1,15(예비건조기),12,2,199,6,6,6,193,6,0.5,0.03015075376884422,0.02926829268292683
1,16(호이스트),1,13,173,8,1,0,172,1,1.0,0.005780346820809248,0.005780346820809248
1,17(6호기),3,10,485,1,3,0,482,3,1.0,0.006185567010309278,0.006185567010309278
1,18(우측분전반2),3,10,247,3,2,1,245,2,0.6666666666666666,0.008097165991902834,0.008064516129032258
1,2(L-1전등),4,8,126,11,1,3,125,1,0.25,0.007936507936507936,0.007751937984496124
1,3(분쇄기(2)),12,2,93,13,5,7,88,5,0.4166666666666667,0.053763440860215055,0.05
1,4(분쇄기(1)),6,4,134,9,2,4,132,2,0.3333333333333333,0.014925373134328358,0.014492753623188406
1,5(좌측분전반),2,12,242,4,2,0,240,2,1.0,0.008264462809917356,0.008264462809917356
7,1(PM-3),8,3,305,4,5,3,300,5,0.625,0.01639344262295082,0.016233766233766232
7,11(우측분전반1),8,3,99,9,4,4,95,4,0.5,0.04040404040404041,0.038834951456310676
7,12(4호기),3,9,120,7,2,1,118,2,0.6666666666666666,0.016666666666666666,0.01652892561983471
7,13(3호기),109,1,161,5,32,77,129,32,0.29357798165137616,0.19875776397515527,0.13445378151260504
7,14(2호기),4,7,73,12,2,2,71,2,0.5,0.0273972602739726,0.02666666666666667
7,15(예비건조기),6,5,430,3,3,3,427,3,0.5,0.0069767441860465115,0.006928406466512702
7,16(호이스트),1,13,43,13,1,0,42,1,1.0,0.023255813953488372,0.023255813953488372
7,17(6호기),10,2,486,1,7,3,479,7,0.7,0.01440329218106996,0.014314928425357873
7,18(우측분전반2),4,7,464,2,4,0,460,4,1.0,0.008620689655172414,0.008620689655172414
7,2(L-1전등),5,6,90,10,2,3,88,2,0.4,0.022222222222222223,0.021505376344086023
7,3(분쇄기(2)),2,12,77,11,1,1,76,1,0.5,0.012987012987012988,0.01282051282051282
7,4(분쇄기(1)),3,9,133,6,2,1,131,2,0.6666666666666666,0.015037593984962405,0.014925373134328358
7,5(좌측분전반),3,9,119,8,3,0,116,3,1.0,0.025210084033613446,0.025210084033613446
21,1(PM-3),3,9,66,13,1,2,65,1,0.3333333333333333,0.015151515151515152,0.014705882352941176
21,11(우측분전반1),3,9,125,10,2,1,123,2,0.6666666666666666,0.016,0.015873015873015872
