random_state,module,iforest_count,iforest_rank
0,1(PM-3),119,8
0,11(우측분전반1),84,10
0,12(4호기),344,3
0,13(3호기),76,11
0,14(2호기),568,1
0,15(예비건조기),183,4
0,16(호이스트),63,13
0,17(6호기),559,2
0,18(우측분전반2),129,7
0,2(L-1전등),160,5
0,3(분쇄기(2)),145,6
0,4(분쇄기(1)),97,9
0,5(좌측분전반),73,12
1,1(PM-3),206,5
1,11(우측분전반1),185,7
1,12(4호기),121,12
1,13(3호기),128,10
1,14(2호기),261,2
1,15(예비건조기),199,6
1,16(호이스트),173,8
1,17(6호기),485,1
1,18(우측분전반2),247,3
1,2(L-1전등),126,11
1,3(분쇄기(2)),93,13
1,4(분쇄기(1)),134,9
1,5(좌측분전반),242,4
7,1(PM-3),305,4
7,11(우측분전반1),99,9
7,12(4호기),120,7
7,13(3호기),161,5
7,14(2호기),73,12
7,15(예비건조기),430,3
7,16(호이스트),43,13
7,17(6호기),486,1
7,18(우측분전반2),464,2
7,2(L-1전등),90,10
7,3(분쇄기(2)),77,11
7,4(분쇄기(1)),133,6
7,5(좌측분전반),119,8
21,1(PM-3),66,13
21,11(우측분전반1),125,10
21,12(4호기),359,1
21,13(3호기),290,3
21,14(2호기),218,6
21,15(예비건조기),347,2
21,16(호이스트),90,12
21,17(6호기),254,4
21,18(우측분전반2),133,9
21,2(L-1전등),95,11
21,3(분쇄기(2)),222,5
21,4(분쇄기(1)),189,8
21,5(좌측분전반),212,7
42,1(PM-3),113,10
42,11(우측분전반1),64,13
42,12(4호기),243,6
42,13(3호기),251,5
42,14(2호기),272,3
42,15(예비건조기),164,7
42,16(호이스트),152,9
42,17(6호기),310,2
42,18(우측분전반2),257,4
42,2(L-1전등),155,8
42,3(분쇄기(2)),88,12
42,4(분쇄기(1)),105,11
42,5(좌측분전반),426,1
77,1(PM-3),104,10
77,11(우측분전반1),261,4
77,12(4호기),335,2
77,13(3호기),25,13
77,14(2호기),133,8
77,15(예비건조기),278,3
77,16(호이스트),120,9
77,17(6호기),89,11
77,18(우측분전반2),168,7
77,2(L-1전등),599,1
77,3(분쇄기(2)),181,6
77,4(분쇄기(1)),77,12
77,5(좌측분전반),230,5
100,1(PM-3),359,1
100,11(우측분전반1),293,3
100,12(4호기),132,10
100,13(3호기),227,5
100,14(2호기),106,11
100,15(예비건조기),336,2
100,16(호이스트),137,9
100,17(6호기),202,7
100,18(우측분전반2),145,8
100,2(L-1전등),77,13
100,3(분쇄기(2)),215,6
100,4(분쇄기(1)),89,12
100,5(좌측분전반),282,4
