random_state,module,rule_count,rule_rank
0,1(PM-3),6,4
0,11(우측분전반1),9,2
0,12(4호기),7,3
0,13(3호기),85,1
0,14(2호기),4,9
0,15(예비건조기),5,6
0,16(호이스트),3,11
0,17(6호기),6,4
0,18(우측분전반2),5,6
0,2(L-1전등),4,9
0,3(분쇄기(2)),0,13
0,4(분쇄기(1)),3,11
0,5(좌측분전반),5,6
1,1(PM-3),6,4
1,11(우측분전반1),6,4
1,12(4호기),4,8
1,13(3호기),110,1
1,14(2호기),6,4
1,15(예비건조기),12,2
1,16(호이스트),1,13
1,17(6호기),3,10
1,18(우측분전반2),3,10
1,2(L-1전등),4,8
1,3(분쇄기(2)),12,2
1,4(분쇄기(1)),6,4
1,5(좌측분전반),2,12
7,1(PM-3),8,3
7,11(우측분전반1),8,3
7,12(4호기),3,9
7,13(3호기),109,1
7,14(2호기),4,7
7,15(예비건조기),6,5
7,16(호이스트),1,13
7,17(6호기),10,2
7,18(우측분전반2),4,7
7,2(L-1전등),5,6
7,3(분쇄기(2)),2,12
7,4(분쇄기(1)),3,9
7,5(좌측분전반),3,9
21,1(PM-3),3,9
21,11(우측분전반1),3,9
21,12(4호기),9,4
21,13(3호기),90,1
21,14(2호기),10,3
21,15(예비건조기),4,8
21,16(호이스트),1,13
21,17(6호기),6,7
21,18(우측분전반2),3,9
21,2(L-1전등),11,2
21,3(분쇄기(2)),2,12
21,4(분쇄기(1)),7,5
21,5(좌측분전반),7,5
42,1(PM-3),8,3
42,11(우측분전반1),8,3
42,12(4호기),0,12
42,13(3호기),92,1
42,14(2호기),5,7
42,15(예비건조기),3,9
42,16(호이스트),4,8
42,17(6호기),1,11
42,18(우측분전반2),0,12
42,2(L-1전등),7,5
42,3(분쇄기(2)),11,2
42,4(분쇄기(1)),7,5
42,5(좌측분전반),3,9
77,1(PM-3),4,8
77,11(우측분전반1),1,13
77,12(4호기),5,5
77,13(3호기),115,1
77,14(2호기),6,3
77,15(예비건조기),4,8
77,16(호이스트),3,11
77,17(6호기),3,11
77,18(우측분전반2),5,5
77,2(L-1전등),9,2
77,3(분쇄기(2)),5,5
77,4(분쇄기(1)),6,3
77,5(좌측분전반),4,8
100,1(PM-3),3,9
100,11(우측분전반1),2,11
100,12(4호기),1,12
100,13(3호기),94,1
100,14(2호기),3,9
100,15(예비건조기),5,6
100,16(호이스트),6,5
100,17(6호기),8,3
100,18(우측분전반2),5,6
100,2(L-1전등),11,2
100,3(분쇄기(2)),8,3
100,4(분쇄기(1)),1,12
100,5(좌측분전반),4,8
