module(equipment),timestamp,localtime,operation,voltageR,voltageS,voltageT,voltageRS,voltageST,voltageTR,currentR,currentS,currentT,activePower,powerFactorR,powerFactorS,powerFactorT,reactivePowerLagging,accumActiveEnergy,suspicious_reason,accum_diff
1(PM-3),2025-03-09 10:00:05,2025-03-09 02:00:05,1,217.92,217.45,216.94,377.03,376.18,376.59,19.0,8.62,18.05,2648.25,99.35,86.63,97.67,619.72,9040754,accumActiveEnergy decreased,-3036.0
1(PM-3),2025-03-09 10:00:10,2025-03-09 02:00:10,1,215.6,212.96,217.87,371.13,373.1,375.38,16.44,18.61,19.02,3107.04,87.85,93.63,87.59,801.2,9040758,accumActiveEnergy decreased,-3035.0
1(PM-3),2025-03-09 10:00:15,2025-03-09 02:00:15,1,219.3,212.19,210.79,373.68,366.3,372.46,22.93,17.9,22.85,3637.86,91.41,92.45,92.17,599.88,9040763,accumActiveEnergy decreased,-3035.0
1(PM-3),2025-03-09 10:00:20,2025-03-09 02:00:20,1,217.07,210.14,217.74,369.96,370.55,376.54,28.53,7.1,27.04,3619.31,88.14,95.57,91.83,977.27,9040768,accumActiveEnergy decreased,-3034.0
1(PM-3),2025-03-09 10:00:25,2025-03-09 02:00:25,1,212.26,217.51,212.71,372.19,372.57,368.02,18.24,10.47,8.94,2146.56,99.58,91.47,98.83,485.5,9040771,accumActiveEnergy decreased,-3036.0
1(PM-3),2025-03-09 10:00:30,2025-03-09 02:00:30,1,212.72,213.35,210.49,368.98,367.04,366.5,12.41,13.55,28.76,3089.02,85.73,95.06,85.42,379.53,9040776,accumActiveEnergy decreased,-3036.0
1(PM-3),2025-03-09 10:00:35,2025-03-09 02:00:35,1,218.39,215.78,213.33,376.0,371.62,373.87,7.08,29.02,6.32,2441.52,94.16,89.66,97.18,392.56,9040779,accumActiveEnergy decreased,-3039.0
1(PM-3),2025-03-09 10:00:40,2025-03-09 02:00:40,1,214.32,218.67,212.73,374.97,373.59,369.82,21.36,6.83,27.0,3150.39,97.28,85.91,92.14,657.36,9040783,accumActiveEnergy decreased,-3039.0
1(PM-3),2025-03-09 10:00:45,2025-03-09 02:00:45,1,215.11,217.62,219.04,374.75,378.15,375.98,21.96,23.97,20.15,3827.87,95.16,89.21,96.77,1015.67,9040789,accumActiveEnergy decreased,-3037.0
1(PM-3),2025-03-09 10:00:50,2025-03-09 02:00:50,1,215.82,217.17,212.17,374.97,371.81,370.64,24.69,5.91,26.79,3279.16,95.56,98.51,99.51,756.21,9040793,accumActiveEnergy decreased,-3039.0
1(PM-3),2025-03-09 10:00:55,2025-03-09 02:00:55,1,214.65,219.36,211.43,375.85,373.06,368.98,8.23,14.73,10.62,1931.57,87.89,86.35,92.91,194.82,9040796,accumActiveEnergy decreased,-3038.0
1(PM-3),2025-03-09 10:01:00,2025-03-09 02:01:00,1,211.82,217.4,211.43,371.7,371.36,366.53,28.79,11.5,18.56,3339.11,93.03,88.17,91.16,470.04,9040800,accumActiveEnergy decreased,-3037.0
1(PM-3),2025-03-09 10:01:05,2025-03-09 02:01:05,1,214.14,215.14,213.63,371.76,371.31,370.45,16.27,22.7,24.04,3600.98,85.02,96.74,98.08,928.07,9040805,accumActiveEnergy decreased,-3036.0
